Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-14,Argentina,34.0,3.0,2.0,1.0,Local transmission,0.0
2020-03-14,Peru,28.0,6.0,0.0,0.0,Local transmission,0.0
2020-03-14,Panama,27.0,13.0,1.0,0.0,Local transmission,0.0
2020-03-14,Mexico,26.0,14.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Costa Rica,23.0,1.0,0.0,0.0,Local transmission,0.0
2020-03-14,Ecuador,23.0,6.0,0.0,0.0,Local transmission,0.0
2020-03-14,Colombia,16.0,7.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Jamaica,7.0,6.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Guyana,1.0,0.0,1.0,0.0,Imported cases only,1.0
2020-03-14,Paraguay,6.0,1.0,0.0,0.0,Local transmission,0.0
2020-03-14,Dominican Republic,5.0,0.0,0.0,0.0,Imported cases only,4.0
2020-03-14,Cuba,4.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Bolivia (Plurinational State of),3.0,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,Puerto Rico,3.0,3.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Honduras,2.0,0.0,0.0,0.0,Imported cases only,2.0
2020-03-14,Venezuela (Bolivarian Republic of),2.0,2.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Antigua and Barbuda,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Guadeloupe,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Saint Vincent and the Grenadines,1.0,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,Trinidad and Tobago,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,French Guiana,6.0,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,Martinique,6.0,2.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Saint Martin,2.0,0.0,0.0,0.0,Under investigation,11.0
2020-03-14,Saint Barthelemy,1.0,0.0,0.0,0.0,Under investigation,11.0
2020-03-14,Cayman Islands,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Algeria,26.0,1.0,2.0,1.0,Local transmission,0.0
2020-03-14,South Africa,17.0,0.0,0.0,0.0,Local transmission,1.0
2020-03-14,Senegal,10.0,0.0,0.0,0.0,Local transmission,1.0
2020-03-14,Burkina Faso,2.0,0.0,0.0,0.0,Imported cases only,3.0
2020-03-14,Cameroon,2.0,0.0,0.0,0.0,Local transmission,7.0
2020-03-14,Democratic Republic of the Congo,2.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,5.0
2020-03-14,Cote d’Ivoire,1.0,0.0,0.0,0.0,Imported cases only,2.0
2020-03-14,Ethiopia,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Gabon,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Ghana,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Guinea,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Kenya,1.0,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Togo,1.0,0.0,0.0,0.0,Imported cases only,7.0
2020-03-14,Réunion,5.0,2.0,0.0,0.0,Imported cases only,0.0
2020-03-05,Republic of Korea,5766,438,35,3,Local transmission,0
2020-03-05,Japan,317,33,6,0,Local transmission,0
2020-03-05,Singapore,110,0,0,0,Local transmission,1
2020-03-05,Australia,57,14,2,2,Local transmission,0
2020-03-05,Malaysia,50,0,0,0,Local transmission,1
2020-03-05,Viet Nam,16,0,0,0,Local transmission,21
2020-03-05,Philippines,3,0,1,0,Imported cases only,29
2020-03-05,New Zealand,2,0,0,0,Imported cases only,2
2020-03-05,Cambodia,1,0,0,0,Imported cases only,37
2020-03-05,Italy,3089,587,107,27,Local transmission,0
2020-03-05,France,282,73,4,0,Local transmission,0
2020-03-05,Germany,262,66,0,0,Local transmission,0
2020-03-05,Spain,198,47,1,1,Local transmission,0
2020-03-05,The United Kingdom,89,38,0,0,Local transmission,0
2020-03-05,Switzerland,56,20,0,0,Local transmission,0
2020-03-05,Norway,56,23,0,0,Local transmission,0
2020-03-05,Netherlands,38,10,0,0,Local transmission,0
2020-03-05,Austria,37,13,0,0,Imported cases only,0
2020-03-05,Sweden,35,11,0,0,Local transmission,0
2020-03-05,Iceland,26,10,0,0,Imported cases only,0
2020-03-05,Belgium,23,15,0,0,Local transmission,0
2020-03-05,San Marino,16,8,0,0,Local transmission,0
